	support	itemsets	length
0	0.115013	(1.5V IND AA ALK BULK)	1
1	0.111691	(1.5V IND AAA ALK BULK)	1
2	0.098719	(1.5V ALKAL)	1
3	0.086062	(1.5V IND AAA ALK BULK, 1.5V IND AA ALK BULK)	2
4	0.079418	(1.5V ALKALINE AA CONTRACTOR 24PK)	1
5	0.056320	(D ALKALINE BULK)	1
6	0.051732	(1.5V ALKALINE AA CONTRACTOR 24PK, 1.5V ALKAL)	2
7	0.042240	(9V IND ALK BULK)	1
8	0.037810	(24PK 1.5V AA ALKALINE)	1
9	0.036228	(C ALKALINE BULK)	1
10	0.031641	(D ALKALINE BULK, 1.5V IND AA ALK BULK)	2
11	0.030059	(1.5V ALKALINE D CONTRACTOR 12PK)	1
12	0.030059	(D ALKALINE BULK, 1.5V IND AAA ALK BULK)	
